title;author;soldBy;stars;price;isKindleUnlimited;isBestSeller;Genre;publishedYear
Whalefall: A Novel;Daniel Kraus;Simon and Schuster Digital Sales Inc;4.1;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Harlem Shuffle: A Novel;Colson Whitehead;Random House LLC;4.3;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2021
Luckiest Girl Alive: A Novel;Jessica Knoll;Simon and Schuster Digital Sales Inc;4;13.99;TRUE;FALSE;Mystery, Thriller & Suspense;2015
The Night She Disappeared: A Novel;Lisa Jewell;Simon and Schuster Digital Sales Inc;4.4;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2021
The Surrogate Mother: An addictive psychological thriller;Freida McFadden;Amazon.com Services LLC;4.4;3.99;TRUE;TRUE;Mystery, Thriller & Suspense;2018
The Soulmate: A Novel;Sally Hepworth;Macmillan;4.2;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Prom Mom: A Novel;Laura Lippman;HarperCollins Publishers;3.9;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
How to Sell a Haunted House;Grady Hendrix;Penguin Group (USA) LLC;4.1;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Countdown: Amy Cornwall Is Patterson's Greatest Character Since Lindsay Boxer;James Patterson;Hachette Book Group;4.5;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Golden Gate: A Novel;Amy Chua;Macmillan;4.2;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Villa: A Novel;Rachel Hawkins;Macmillan;4.1;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Black River Orchard;Chuck Wendig;Random House LLC;4.4;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Traitor: A Novel;Ava Glass;Random House LLC;4.4;11.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The White Lady: A Novel;Jacqueline Winspear;HarperCollins Publishers;4.4;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Borrowed Time;John Nolte;Simon & Schuster Digital Sales Inc.;4.5;11.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Killers of a Certain Age;Deanna Raybourn;Penguin Group (USA) LLC;4.3;11.99;FALSE;FALSE;Mystery, Thriller & Suspense;2022
A Fatal Affair;A. R. Torre;Amazon.com Services LLC;4.2;2.49;TRUE;FALSE;Mystery, Thriller & Suspense;2023
Gone Tonight: A Novel;Sarah Pekkanen;Macmillan;4.2;14.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
Nineteen Minutes: A novel;Jodi Picoult;Simon and Schuster Digital Sales Inc;4.5;13.99;TRUE;FALSE;Mystery, Thriller & Suspense;2007
If We Were Villains: A Novel;M. L. Rio;Macmillan;4.3;11.99;TRUE;FALSE;Mystery, Thriller & Suspense;2017
The Fifth Kind: Arrival (Dark Nova Series Book 1);James D. Prescott;Amazon.com Services LLC;4.2;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
An Honest Man: A Novel;Michael Koryta;Hachette Book Group;4.6;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Institute: A Novel;Stephen King;Simon and Schuster Digital Sales Inc;4.6;9.99;FALSE;FALSE;Mystery, Thriller & Suspense;2019
Going Zero: A Novel;Anthony McCarten;HarperCollins Publishers;4.3;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Troop: A Novel;Nick Cutter;Simon and Schuster Digital Sales Inc;4.2;9.99;FALSE;FALSE;Mystery, Thriller & Suspense;2014
The Reckoning: A Novel;John Grisham;Random House LLC;4.1;8.99;FALSE;FALSE;Mystery, Thriller & Suspense;2018
The Changeling: A Novel;Victor LaValle;Random House LLC;4.1;8.99;FALSE;FALSE;Mystery, Thriller & Suspense;2017
And Then There Were None;Agatha Christie;HarperCollins Publishers;4.4;8.99;FALSE;FALSE;Mystery, Thriller & Suspense;2009
Murder Your Employer: The McMasters Guide to Homicide;Rupert Holmes;Simon and Schuster Digital Sales Inc;4.4;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
On the Line: A Riveting Novel of Suspense;Fern Michaels;Amazon.com Services LLC;4.3;13.49;TRUE;FALSE;Mystery, Thriller & Suspense;2023
When We Believed in Mermaids: A Novel;Barbara O'Neal;Amazon.com Services LLC;4.5;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2019
Sabotage: A Dark Enemies to Lovers Romance;Shantel Tessier;Amazon.com Services LLC;4.2;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2022
